,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,EMA_12,EMA_26,MACD,MACD_signal,SMA_signal,SMA_position,SMA_return,SMA_equity,RSI_signal,RSI_position,RSI_return,RSI_equity,MACD_signal_bin,MACD_position,MACD_return,MACD_equity
2007-03-22,1.3382,1.341,1.331,1.333,-0.0037369207772796,-0.0037439205094651,0.0302983459576433,1.0302983459576434,1.0341629309012206,-0.0037369207772797,1.32159,,61.680672268907514,1.3265170743329313,1.3198735609557,0.006643513377231347,0.005368318952205857,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0037369207772796,1.0082136023530222
2007-03-23,1.333,1.3342,1.328,1.3283,-0.0035258814703675,-0.003532112040251,0.0266656361106809,1.026665636110681,1.0341629309012206,-0.0072496263079223,1.32218,,68.08905380333948,1.3267913705894034,1.320497741625648,0.006293628963755404,0.005553380954515767,0,0.0,-0.0,1.0,0,0.0,-0.0,1.0,1,1.0,-0.0035258814703675,1.0046587606943131
2007-03-26,1.3283,1.3346,1.3254,1.333,0.003538357298803,0.003532112040251,0.0302983459576433,1.0302983459576434,1.0341629309012206,-0.0037369207772797,1.32289,,68.55575868372935,1.32774654434488,1.321423834838563,0.00632270950631697,0.005707246664876008,0,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.003538357298803,1.0082136023530224
2007-03-27,1.3329,1.3363,1.3321,1.335,0.0015003750937734,0.0014992506556412,0.0318441799350741,1.0318441799350742,1.0341629309012206,-0.0022421524663679,1.323445,1.311616,66.79536679536665,1.3288624605995136,1.322429476702373,0.006432983897140643,0.005852394111328935,1,0.0,0.0,1.0,0,0.0,0.0,1.0,1,1.0,0.0015003750937734,1.0097263009311965
2007-03-28,1.3359,1.3373,1.3308,1.3313,-0.0027715355805243,-0.0027753833964784,0.0289843870768271,1.0289843870768272,1.0341629309012206,-0.0050074738415547,1.323885,1.312366,67.97642436149312,1.3292374666611269,1.323086552502197,0.0061509141589297656,0.005912098120849102,1,1.0,-0.0027715355805243,0.9972284644194757,0,0.0,-0.0,1.0,1,1.0,-0.0027715355805243,1.0069278085615745
2007-03-29,1.3312,1.3352,1.3302,1.333,0.0012769473447007,0.0012761327408372,0.0302983459576433,1.0302983459576434,1.0341629309012206,-0.0037369207772797,1.324605,1.3130999999999997,71.17647058823539,1.3298163179440305,1.323820881946479,0.00599543599755159,0.0059287656961896,1,1.0,0.0012769473447007,0.9985018726591761,0,0.0,0.0,1.0,1,1.0,0.0012769473447007,1.0082136023530226
2007-03-30,1.3332,1.3399,1.3287,1.3352,0.0016504126031506,0.0016490521689165,0.0319987633328171,1.0319987633328171,1.0341629309012206,-0.0020926756352768,1.3254100000000002,1.3138819999999998,67.83369803063461,1.330644576721872,1.324663779580073,0.005980797141798888,0.005939171985311458,1,1.0,0.0016504126031506,1.0001498127340824,0,0.0,0.0,1.0,1,1.0,0.0016504126031506,1.009877570789014
2007-04-02,1.3373,1.3381,1.3331,1.3365,0.0009736369083284,0.0009731632313484,0.0330035554181473,1.0330035554181474,1.0341629309012206,-0.0011210762331839,1.326795,1.314714,68.31896551724151,1.331545411072353,1.3255405366482158,0.006004874424137219,0.00595231247307661,1,1.0,0.0009736369083284,1.0011235955056181,0,0.0,0.0,1.0,1,1.0,0.0009736369083284,1.0108608248648272
2007-04-03,1.3368,1.338,1.332,1.333,-0.0026187803965582,-0.0026222154002651,0.0302983459576433,1.0302983459576434,1.0341629309012206,-0.0037369207772797,1.32781,1.3153219999999999,61.276595744680805,1.3317691939842988,1.3260930894890888,0.005676104495210055,0.0058970708775033,1,1.0,-0.0026187803965582,0.9985018726591762,0,0.0,-0.0,1.0,0,1.0,-0.0026187803965582,1.0082136023530226
2007-04-04,1.3332,1.338,1.3319,1.3368,0.0028507126781696,0.0028466571024753,0.0332354305147619,1.033235430514762,1.0341629309012206,-0.0008968609865471,1.32877,1.3161180000000001,63.232323232323154,1.3325431641405607,1.3268861939713783,0.005656970169182429,0.005849050735839126,1,1.0,0.0028507126781696,1.001348314606742,0,0.0,0.0,1.0,0,0.0,0.0,1.0082136023530226
2007-04-05,1.3366,1.3441,1.3352,1.3429,0.0045631358467983,0.0045527563059456,0.0379502241459259,1.037950224145926,1.037950224145926,0.0,1.330265,1.317114,61.924686192468684,1.3341365235035512,1.3280724018253502,0.006064121678200918,0.005892064924311485,1,1.0,0.0045631358467983,1.005917602996255,0,0.0,0.0,1.0,1,0.0,0.0,1.0082136023530226
2007-04-06,1.3429,1.3432,1.3363,1.3378,-0.0037977511356019,-0.0038049809028218,0.0340083475034773,1.0340083475034774,1.037950224145926,-0.0037977511356021,1.331585,1.31804,57.364341085271356,1.3347001352722356,1.328792964653102,0.005907170619133595,0.005895086063275907,1,1.0,-0.0037977511356019,1.002097378277154,0,0.0,-0.0,1.0,1,1.0,-0.0037977511356019,1.004384657999757
2007-04-09,1.3373,1.3378,1.334,1.3353,-0.0018687397219316,-0.0018704879943894,0.0320760550316887,1.0320760550316888,1.037950224145926,-0.0056593938491326,1.332405,1.3188319999999998,53.42205323193898,1.3347924221534302,1.3292749672713908,0.005517454882039363,0.005819559827028599,1,1.0,-0.0018687397219316,1.000224719101124,0,0.0,-0.0,1.0,0,1.0,-0.0018687397219316,1.0025077244932543
2007-04-10,1.3354,1.3455,1.3349,1.3439,0.0064405002621135,0.0064198488631002,0.0387231411346413,1.0387231411346414,1.0387231411346414,0.0,1.333625,1.3197720000000002,55.3734061930783,1.3361935879759792,1.3303583030290655,0.005835284946913655,0.0058227048510056095,1,1.0,0.0064405002621135,1.0066666666666673,0,0.0,0.0,1.0,1,0.0,0.0,1.0025077244932543
2007-04-11,1.3439,1.3441,1.3407,1.343,-0.0006696926854677,-0.000669917029781,0.0380275158447973,1.0380275158447974,1.0387231411346414,-0.0006696926854677,1.3346550000000001,1.3205660000000001,59.8425196850393,1.337240728287367,1.3312947250269125,0.00594600326045458,0.005847364532895404,1,1.0,-0.0006696926854677,1.0059925093632964,0,0.0,-0.0,1.0,1,1.0,-0.0006696926854677,1.0018363524030363
2007-04-12,1.343,1.3503,1.3429,1.3481,0.0037974683544304,0.0037902761737808,0.0419693924872459,1.041969392487246,1.041969392487246,0.0,1.335875,1.3214860000000002,69.33593749999982,1.338911385473926,1.3325395602101042,0.006371825263821851,0.005952256679080694,1,1.0,0.0037974683544304,1.0098127340823975,0,0.0,0.0,1.0,1,1.0,0.0037974683544304,1.0056407942476047
