,open,high,low,close,simple_return,log_return,cum_return,equity_curve,rolling_peak,drawdown,SMA_20,SMA_50,RSI_14,signal,position,trade,strategy_return,strategy_equity,buy_hold
2008-07-25,1.5677,1.5753,1.5662,1.5708,0.0020413370757845,0.002039256378378,0.214098005874169,1.214098005874169,1.2363580151491729,-0.021262672465144423,1.57903,1.566816,49.13494809688577,0,0.0,0.0,0.0,1.0748077087705201,1.2140980058741777
2008-07-28,1.5695,1.5767,1.5683,1.5737,0.0018461930226636,0.0018444909029641,0.2163394651414438,1.216339465141444,1.2363580151491729,-0.021262672465144423,1.578945,1.567272,54.16666666666676,1,0.0,0.0,0.0,1.0748077087705201,1.2163394651414525
2008-07-29,1.5738,1.5757,1.5553,1.5583,-0.0097858549914215,-0.00983405115525,0.2044365435152264,1.2044365435152264,1.2363580151491729,-0.031036201492598954,1.57789,1.5671339999999998,41.66666666666658,0,1.0,1.0,-0.009985854991421501,1.0640748348470757,1.204436543515235
2008-07-30,1.5583,1.5615,1.5519,1.5576,-0.0004492074696784,-0.0004493083935788,0.2038955016231256,1.2038955016231256,1.2363580151491729,-0.03122999425230037,1.57632,1.566954,38.235294117647044,0,0.0,1.0,-0.0002,1.0638620198801063,1.2038955016231345
2008-07-31,1.5577,1.5698,1.5568,1.5597,0.0013482280431433,0.0013473199997899,0.205518627299428,1.205518627299428,1.2363580151491729,-0.03122999425230037,1.575825,1.566702,27.39361702127664,0,0.0,0.0,0.0,1.0638620198801063,1.205518627299437
2008-08-01,1.5598,1.5598,1.5513,1.5564,-0.0021157914983651,-0.0021180329473813,0.202968001236667,1.202968001236667,1.2363580151491729,-0.03122999425230037,1.575125,1.5663040000000001,27.393617021276555,0,0.0,0.0,-0.0,1.0638620198801063,1.2029680012366761
2008-08-04,1.5572,1.563,1.5555,1.5573,0.0005782575173476,0.0005780903908944,0.2036636265265108,1.2036636265265108,1.2363580151491729,-0.03122999425230037,1.574375,1.565906,27.58620689655166,0,0.0,0.0,0.0,1.0638620198801063,1.20366362652652
2008-08-05,1.5572,1.5575,1.5447,1.545,-0.0078982854941244,-0.0079296421694471,0.1941567475653112,1.1941567475653112,1.2363580151491729,-0.03122999425230037,1.57329,1.565454,26.496815286624113,0,0.0,0.0,-0.0,1.0638620198801063,1.1941567475653203
2008-08-06,1.545,1.5515,1.5398,1.5413,-0.0023948220064725,-0.0023976941791718,0.1912969547070642,1.1912969547070642,1.2363580151491729,-0.03122999425230037,1.5716700000000001,1.5649859999999998,21.58365261813526,0,0.0,0.0,-0.0,1.0638620198801063,1.1912969547070733
2008-08-07,1.5413,1.5502,1.5309,1.5324,-0.0057743463310192,-0.0057910823261801,0.184417993507497,1.184417993507497,1.2363580151491729,-0.03122999425230037,1.56937,1.564612,19.65116279069761,0,0.0,0.0,-0.0,1.0638620198801063,1.184417993507506
2008-08-08,1.5324,1.5334,1.4997,1.5005,-0.020817019055077,-0.0210367479460721,0.1597619415674753,1.1597619415674754,1.2363580151491729,-0.03122999425230037,1.56471,1.5635139999999998,8.265213442325077,0,0.0,0.0,-0.0,1.0638620198801063,1.1597619415674842
2008-08-11,1.4968,1.5082,1.488,1.4892,-0.0075308230589802,-0.0075593228818598,0.1510279795949913,1.1510279795949914,1.2363580151491729,-0.03122999425230037,1.55965,1.5622200000000002,8.425925925925853,0,0.0,0.0,-0.0,1.0638620198801063,1.1510279795950003
